Prob_RRAB,Prob_RRC,Prob_MIRA_SR,Prob_CEP,Prob_T2CEP,Prob_DSCT_SXPHE,Class,Pred,True_T_eff,Pred_T_eff,True_Radius,Pred_Radius
2100232140096027136,0.12685263,0.11228612,0.03435513,0.61744946,0.040497225,0.06855945,RRAB,CEP,6112.3594,6090.8945,4.5336432,7.0430784
2051308472567046272,0.066308185,0.12978576,0.03482685,0.62803346,0.047070112,0.09397566,RRAB,CEP,6329.9927,6407.867,1.1950612,3.6724908
4685990846811569792,0.026092263,0.049291138,0.02854283,0.72167337,0.055184323,0.11921607,CEP,CEP,5744.6143,5470.168,3.7199852,5.314434
5985076032681846656,0.1002853,0.00015088936,0.8991012,3.976489e-06,8.354131e-05,0.0003750707,MIRA_SR,MIRA_SR,-1.0,2908.7578,-1.0,102.95181
5882464591112484352,0.118725166,0.00038777545,0.8795413,3.8544546e-05,0.00031607077,0.0009912156,MIRA_SR,MIRA_SR,-1.0,3808.577,-1.0,105.83839
5260191690351698560,0.13615315,9.8500044e-05,0.86310416,7.057586e-06,0.00015172933,0.00048534194,RRAB,MIRA_SR,-1.0,3606.4543,-1.0,101.26096
6058189909473293440,0.13131157,0.0001852372,0.8678011,1.2096965e-05,0.00015003898,0.0005399866,MIRA_SR,MIRA_SR,-1.0,3747.3767,-1.0,118.09487
4303001358753897728,0.6239968,0.207592,0.04835714,0.03869525,0.04433834,0.037020437,RRAB,RRAB,6102.3765,5429.8877,2.879355,9.173938
5855468247702904704,0.024334501,0.12661296,0.027441526,0.5954174,0.09509915,0.13109452,CEP,CEP,4781.658,4827.311,70.1224,12.251622
5261769760089223808,0.16952816,0.14298734,0.01823012,0.5496108,0.061617326,0.05802625,RRAB,CEP,6685.3936,6017.9097,-1.0,9.7735615
4660121743354300800,0.09573936,0.103249714,0.015902823,0.6894926,0.046535037,0.04908045,CEP,CEP,5715.3623,5606.706,-1.0,10.388261
5768255706913982848,0.44290647,0.20219964,0.038557667,0.21686798,0.041539334,0.057928886,RRC,RRAB,6630.8477,6793.288,-0.09120178,7.7222943
4619443072963581056,0.09640712,0.10961925,0.013336819,0.7048227,0.03792396,0.037890144,RRC,CEP,-1.0,5906.634,-1.0,8.441271
5807268097461296896,0.07302347,0.48053968,0.07761354,0.04665781,0.14981265,0.17235282,RRC,RRC,6873.077,6897.4395,1.0860424,2.9982724
4425558529711848704,0.026962543,0.21368974,0.049476225,0.07230551,0.18328045,0.45428556,T2CEP,DSCT_SXPHE,7538.7744,7045.1343,-1.139472,1.7411256
4651283422194089984,0.08465372,0.00066020066,0.90609854,0.00039714586,0.0012944556,0.006895916,MIRA_SR,MIRA_SR,3495.477,3440.6172,-1.0,46.746086
4661521829649136768,0.56437695,0.19501358,0.03454727,0.1172073,0.032706343,0.0561485,RRC,RRAB,-1.0,6374.5127,-1.0,5.2075624
5771811866817621888,0.14903988,0.17106654,0.01993079,0.52531177,0.064597934,0.070053145,RRC,CEP,6078.4727,5830.496,-0.5450468,10.736228
4685979061419425536,0.034033664,0.07593565,0.028776743,0.71467113,0.047178667,0.09940419,CEP,CEP,-1.0,6099.812,-1.0,4.184619
5988018939955956224,0.3779708,0.44652775,0.043591842,0.025642483,0.06363097,0.042636096,RRAB,RRC,-1.0,5253.487,-1.0,9.839002
4658162997770934656,0.0711767,0.07664138,0.05836734,0.6635843,0.044510555,0.085719764,DSCT_SXPHE,CEP,5046.2334,4990.5625,12.035302,9.659765
1831455899912035968,0.23109289,0.5821883,0.07728513,0.0067627705,0.055164307,0.047506627,RRC,RRC,7023.823,6699.499,1.2550716,3.8344884
4658044903360855424,0.12593447,0.0004348203,0.8690222,0.00011801186,0.0013216267,0.0031689093,MIRA_SR,MIRA_SR,4131.6826,3706.3389,24.918194,73.76383
4656422741401086208,0.1980267,0.19901657,0.021284983,0.50428563,0.038498446,0.03888767,RRC,CEP,6080.589,6776.04,-1.0,5.4038253
1974105202780210816,0.08685338,0.00030255612,0.91111404,4.142689e-05,0.00027473798,0.0014138875,MIRA_SR,MIRA_SR,-1.0,3410.6274,-1.0,74.88208
5978060628817774848,0.5789874,0.3239863,0.029359655,0.0059806015,0.039261583,0.022424472,RRAB,RRAB,4427.201,5171.1143,2.3932705,8.847299
5874382489079564672,0.10716787,0.00016940836,0.89199865,1.1683103e-05,0.00011604434,0.0005362846,RRAB,MIRA_SR,-1.0,3694.2595,-1.0,106.7485
1445818830877914752,0.049728308,0.25413287,0.06839869,0.032190546,0.15705898,0.43849057,RRC,DSCT_SXPHE,7583.38,6891.4507,2.978372,0.2906642
5937584513386664832,0.05281132,0.20753339,0.21204445,0.06630687,0.23234268,0.22896121,RRC,T2CEP,4387.6016,4213.4365,6.0069,39.32116
5590143752447578752,0.3292182,0.2585091,0.053651843,0.22959524,0.051515277,0.07751036,MIRA_SR,RRAB,6758.8887,6055.9375,-1.0,7.998884
2036382984492664960,0.11221508,0.00028923774,0.88645166,1.2910007e-05,0.00023056901,0.0008005567,MIRA_SR,MIRA_SR,-1.0,3086.2646,-1.0,94.589325
4687232195369241344,0.56060207,0.25871378,0.031029172,0.028030708,0.04027373,0.081350505,RRAB,RRAB,-1.0,6381.541,-1.0,7.306865
4661955861875006720,0.16756527,0.32556248,0.046484444,0.002902586,0.06371226,0.393773,T2CEP,DSCT_SXPHE,-1.0,7833.6484,-1.0,-0.14933205
5620011921402829824,0.08292468,0.37996826,0.09045666,0.18504447,0.12480126,0.13680473,T2CEP,RRC,4328.3677,4575.3193,4.5648003,12.789856
6240758390728406528,0.1782151,0.57021356,0.07752447,0.009480128,0.08554101,0.07902569,RRC,RRC,6878.4014,6555.5117,3.0043764,1.3211346
6084397323179842048,0.7243238,0.21532236,0.021626879,0.0021157467,0.023760494,0.012850669,RRC,RRAB,4859.1846,5694.865,1.1607451,5.5160093
4655058354855716224,0.003828851,0.01847112,0.0053107613,0.6814076,0.09948807,0.19149369,CEP,CEP,6616.51,6396.6094,1.813169,5.7293496
5800936830325513472,0.012044953,0.101889074,0.030889165,0.13565882,0.17301966,0.54649836,DSCT_SXPHE,DSCT_SXPHE,7739.6157,6599.197,1.0950437,3.1783538
4655496235359413888,0.056916155,0.061519362,0.011603164,0.7828462,0.037349094,0.04976603,CEP,CEP,5400.1733,5615.42,1.7407804,8.373618
4689064909462738176,0.17888814,0.11818348,0.0383617,0.56746614,0.039515037,0.05758552,CEP,CEP,6316.7646,5855.6074,3.7745109,6.0277967
