Prob_RRC,Prob_MIRA_SR,Prob_RRAB,Prob_CEP,Prob_T2CEP,Prob_DSCT_SXPHE,Class,Pred,True_T_eff,Pred_T_eff,True_Radius,Pred_Radius
2323069062182127872,0.35532984,0.0017938652,0.042283706,0.006656823,0.13163647,0.4622993,DSCT_SXPHE,DSCT_SXPHE,7465.178,7967.702,-1.0,2.273995
5938691790319741696,0.33417007,0.30749342,0.13589017,0.020258872,0.12026519,0.08192227,RRC,RRC,4907.546,4252.4272,5.76718,60.899822
4661673944515650432,0.38739106,0.03025601,0.27281263,0.18813074,0.04712523,0.07428439,CEP,RRC,6045.8105,6051.4985,1.0904188,3.9784768
471345653982390016,0.16003771,0.82914966,0.0022747675,0.0014951075,0.0031107673,0.003931998,MIRA_SR,MIRA_SR,-1.0,3938.9807,91.647415,87.86977
4659137779187076480,0.48468062,0.022425061,0.28786594,0.054301485,0.055441823,0.0952851,RRC,RRC,-1.0,6619.9717,-1.0,5.1307273
5917490354272661376,0.13381642,0.86223876,0.0006828586,0.0005204003,0.000970608,0.0017710441,RRC,MIRA_SR,3071.706,3476.1736,-1.0,84.54628
4664903308924976256,0.22187313,0.05220733,0.6869203,0.009999479,0.009069224,0.019930579,RRAB,RRAB,-1.0,6544.7925,-1.0,0.42814493
1911925101499636608,0.29519308,0.06685315,0.57336074,0.0002734039,0.029139144,0.03518046,RRAB,RRAB,6545.748,5760.331,-1.0,-5.6903486
2035303573328123904,0.18376547,0.8059438,0.0034529683,0.0010121856,0.0015112405,0.004314309,RRC,MIRA_SR,3067.1348,3562.141,75.66258,65.94673
501784465166020352,0.4028951,0.026022501,0.42980254,0.019523552,0.05544026,0.06631613,RRC,RRAB,6570.7056,6286.0547,0.677752,8.164161
5781699500007778176,0.06893636,0.091950096,0.7484104,0.0033088857,0.029458798,0.0579354,RRAB,RRAB,6540.757,6456.8057,0.97018147,2.8701234
2033008274099620480,0.23271172,0.16382635,0.44276398,0.07454129,0.050182927,0.035973717,DSCT_SXPHE,RRAB,4019.044,4288.5425,38.18521,13.850947
