Prob_MIRA_SR,Prob_RRAB,Prob_RRC,Prob_CEP,Prob_T2CEP,Prob_DSCT_SXPHE,Class,Pred,True_T_eff,Pred_T_eff,True_Radius,Pred_Radius
4655572028623353088,5.7089032e-06,0.40777385,0.3525924,0.1774426,0.028382747,0.033802584,RRAB,RRAB,-1.0,6539.891,-1.0,-1.0129838
5711043134765961984,0.9998759,1.392931e-06,1.1743092e-05,1.2354885e-06,6.2227355e-06,0.000103395454,MIRA_SR,MIRA_SR,-1.0,3756.042,-1.0,81.46781
4657705291679698048,0.00025478416,0.2942119,0.06278123,0.5803657,0.03514351,0.027242888,DSCT_SXPHE,CEP,4683.568,5167.6357,23.538462,7.566895
5835477816314044544,0.9999125,1.10189255e-07,8.8102195e-07,4.1393685e-07,3.6152744e-06,8.239233e-05,MIRA_SR,MIRA_SR,-1.0,3575.283,-1.0,87.791084
5915016831070097280,1.1612113e-05,0.80517846,0.15310854,0.007107802,0.019709244,0.014884371,RRAB,RRAB,6379.6587,6265.1274,-1.0,3.4229286
6436761868979026688,6.746996e-06,0.017891765,0.4580154,0.000841731,0.14597222,0.3772722,T2CEP,RRC,7354.9736,7906.9463,-1.3017411,-0.74345446
5361514637466711424,9.654748e-06,0.91105646,0.045165863,0.013169304,0.016916394,0.013682252,RRAB,RRAB,6502.65,5348.3867,0.7914047,0.798615
3215180803747454208,6.604909e-06,0.18381184,0.58745813,0.0041450453,0.080668025,0.14391038,RRC,RRC,6709.635,6799.0947,0.9711766,2.7951932
3036303696568301824,1.7960389e-06,0.58603823,0.34154844,0.009944798,0.025302075,0.03716465,RRAB,RRAB,6158.3506,6220.7285,-1.354156,0.50954723
4687209998985047296,0.00035230521,0.013593772,0.03656653,0.8896702,0.03052811,0.029289024,CEP,CEP,6030.6846,6026.61,3.1448655,1.7794976
4657916118728115456,0.0019061184,0.023170773,0.05985501,0.7606397,0.0652113,0.08921699,CEP,CEP,5144.749,5711.537,18.732798,6.504798
5261578724240760960,0.9777974,0.0034255667,0.0013538447,0.0037152965,0.0058752694,0.0078325495,MIRA_SR,MIRA_SR,3055.9932,4119.0312,50.858192,27.10997
5368112634944686080,9.919119e-07,0.92321384,0.049991302,0.00045278654,0.009755332,0.016585756,RRAB,RRAB,6428.6553,6217.076,0.6502938,-0.35534477
5476378315113644416,1.3464555e-05,0.6652297,0.214242,0.064066544,0.022913277,0.0335351,RRAB,RRAB,6666.6377,6516.398,-1.0,-2.9394488
